Fraud_Deciles,min_probability,max_probability
1,0.9723191570976876,0.9999999999696809
2,0.7837498009752073,0.97231559830265
3,0.5173242118560726,0.7837394036576015
4,0.35485513365146126,0.5173218048174703
5,0.22609970327265103,0.35485513365146126
6,0.14868513170833272,0.2260969971249694
7,0.11343277013572411,0.1486816485685974
8,0.09260699598514678,0.11343192782541243
9,0.07912189093596113,0.09260665404148755
10,0.05508849336767028,0.07912181533176361
